url,image_name,accession_number
http://fm-digital-assets.fieldmuseum.org/2818/251/V0616221F.jpg,V0616221F.jpg,1140655
http://fm-digital-assets.fieldmuseum.org/2818/834/V0616222F.jpg,V0616222F.jpg,1106240
http://fm-digital-assets.fieldmuseum.org/2818/977/V0616223F.jpg,V0616223F.jpg,1703283
http://fm-digital-assets.fieldmuseum.org/2818/365/V0616224F.jpg,V0616224F.jpg,904378
http://fm-digital-assets.fieldmuseum.org/2819/176/V0616225F.jpg,V0616225F.jpg,"<Error, Please Double Check>"
http://fm-digital-assets.fieldmuseum.org/2818/269/V0616226F.jpg,V0616226F.jpg,683752
http://fm-digital-assets.fieldmuseum.org/2818/346/V0616227F.jpg,V0616227F.jpg,1688400
http://fm-digital-assets.fieldmuseum.org/2818/739/V0616228F.jpg,V0616228F.jpg,1105917
http://fm-digital-assets.fieldmuseum.org/2818/276/V0616229F.jpg,V0616229F.jpg,575941
http://fm-digital-assets.fieldmuseum.org/2818/741/V0616230F.jpg,V0616230F.jpg,846623
http://fm-digital-assets.fieldmuseum.org/2819/114/V0616231F.jpg,V0616231F.jpg,1105454
http://fm-digital-assets.fieldmuseum.org/2819/314/V0616232F.jpg,V0616232F.jpg,1104511
http://fm-digital-assets.fieldmuseum.org/2818/633/V0616233F.jpg,V0616233F.jpg,1965789
http://fm-digital-assets.fieldmuseum.org/2818/374/V0616234F.jpg,V0616234F.jpg,1106544
http://fm-digital-assets.fieldmuseum.org/2818/768/V0616235F.jpg,V0616235F.jpg,1140762
http://fm-digital-assets.fieldmuseum.org/2819/051/V0616236F.jpg,V0616236F.jpg,1105489
http://fm-digital-assets.fieldmuseum.org/2818/776/V0616237F.jpg,V0616237F.jpg,1632256
http://fm-digital-assets.fieldmuseum.org/2818/246/V0616238F.jpg,V0616238F.jpg,1770792
http://fm-digital-assets.fieldmuseum.org/2819/036/V0616239F.jpg,V0616239F.jpg,1770793
http://fm-digital-assets.fieldmuseum.org/2818/264/V0616240F.jpg,V0616240F.jpg,1710704
http://fm-digital-assets.fieldmuseum.org/2818/253/V0616241F.jpg,V0616241F.jpg,"<Error, Please Double Check>"
http://fm-digital-assets.fieldmuseum.org/2818/339/V0616242F.jpg,V0616242F.jpg,1955893
http://fm-digital-assets.fieldmuseum.org/2819/299/V0616243F.jpg,V0616243F.jpg,1249936
http://fm-digital-assets.fieldmuseum.org/2818/415/V0616244F.jpg,V0616244F.jpg,1069360
http://fm-digital-assets.fieldmuseum.org/2818/455/V0616245F.jpg,V0616245F.jpg,1676508
http://fm-digital-assets.fieldmuseum.org/2818/955/V0616246F.jpg,V0616246F.jpg,1262700
http://fm-digital-assets.fieldmuseum.org/2818/258/V0616247F.jpg,V0616247F.jpg,1724555
http://fm-digital-assets.fieldmuseum.org/2818/445/V0616248F.jpg,V0616248F.jpg,1647070
http://fm-digital-assets.fieldmuseum.org/2818/759/V0616249F.jpg,V0616249F.jpg,1633041
http://fm-digital-assets.fieldmuseum.org/2818/928/V0616250F.jpg,V0616250F.jpg,581345
http://fm-digital-assets.fieldmuseum.org/2818/978/V0616251F.jpg,V0616251F.jpg,581272
http://fm-digital-assets.fieldmuseum.org/2819/063/V0616252F.jpg,V0616252F.jpg,583465
http://fm-digital-assets.fieldmuseum.org/2818/735/V0616253F.jpg,V0616253F.jpg,2070898
http://fm-digital-assets.fieldmuseum.org/2818/948/V0616254F.jpg,V0616254F.jpg,"<Error, Please Double Check>"
http://fm-digital-assets.fieldmuseum.org/2818/813/V0616255F.jpg,V0616255F.jpg,1682970
http://fm-digital-assets.fieldmuseum.org/2818/631/V0616256F.jpg,V0616256F.jpg,942723
http://fm-digital-assets.fieldmuseum.org/2818/708/V0616257F.jpg,V0616257F.jpg,942722
http://fm-digital-assets.fieldmuseum.org/2818/610/V0616258F.jpg,V0616258F.jpg,1883479
http://fm-digital-assets.fieldmuseum.org/2818/988/V0616259F.jpg,V0616259F.jpg,1914667
http://fm-digital-assets.fieldmuseum.org/2818/307/V0616260F.jpg,V0616260F.jpg,899024
http://fm-digital-assets.fieldmuseum.org/2818/832/V0616261F.jpg,V0616261F.jpg,2234361
http://fm-digital-assets.fieldmuseum.org/2818/297/V0616262F.jpg,V0616262F.jpg,614997
http://fm-digital-assets.fieldmuseum.org/2819/297/V0616263F.jpg,V0616263F.jpg,1787635
http://fm-digital-assets.fieldmuseum.org/2819/224/V0616264F.jpg,V0616264F.jpg,1729290
http://fm-digital-assets.fieldmuseum.org/2818/875/V0616265F.jpg,V0616265F.jpg,8108741
http://fm-digital-assets.fieldmuseum.org/2819/037/V0616266F.jpg,V0616266F.jpg,1724505
http://fm-digital-assets.fieldmuseum.org/2818/441/V0616267F.jpg,V0616267F.jpg,1724502
http://fm-digital-assets.fieldmuseum.org/2818/585/V0616268F.jpg,V0616268F.jpg,1724585
http://fm-digital-assets.fieldmuseum.org/2819/072/V0616269F.jpg,V0616269F.jpg,1440301
http://fm-digital-assets.fieldmuseum.org/2818/973/V0616270F.jpg,V0616270F.jpg,1903586
http://fm-digital-assets.fieldmuseum.org/2818/755/V0616271F.jpg,V0616271F.jpg,2039639
http://fm-digital-assets.fieldmuseum.org/2818/363/V0616272F.jpg,V0616272F.jpg,922773
http://fm-digital-assets.fieldmuseum.org/2818/855/V0616273F.jpg,V0616273F.jpg,576912
http://fm-digital-assets.fieldmuseum.org/2819/250/V0616274F.jpg,V0616274F.jpg,1724503
http://fm-digital-assets.fieldmuseum.org/2818/662/V0616275F.jpg,V0616275F.jpg,941810
http://fm-digital-assets.fieldmuseum.org/2818/395/V0616276F.jpg,V0616276F.jpg,576953
http://fm-digital-assets.fieldmuseum.org/2818/640/V0616277F.jpg,V0616277F.jpg,1910498
http://fm-digital-assets.fieldmuseum.org/2818/305/V0616278F.jpg,V0616278F.jpg,1854505
